id,long,lat,time,user_id,label,text
519251060113047552,-81.039076,29.19833,2014-10-06 22:21:14,1005405780,E,"""@FoodStampsKing: Hoe: ""I'm STD free"" 

Me: Bitch but are you Ebola free? 👀"""
519251067050393600,-98.565713,33.878047,2014-10-06 22:21:16,1108297862,E,when West Nile and Ebola comes to Texas http://t.co/lTVC4Sg3Oy
519251088202285058,-3.304054,51.394205,2014-10-06 22:21:21,487384442,E,#EbolaFootballChants Stand up if you have Ebola!!
519251113787539456,-73.779407,40.899565,2014-10-06 22:21:27,93455967,E,Everyone wants to joke about Ebola til that shit creeps up on you and you get infected. Then you'll see how funny that shit really is.
519251114634776576,-3.925503,51.661661,2014-10-06 22:21:27,714915128,E,Ebola yes finally zombies are happening
519251278082613248,-58.781268,-34.612709,2014-10-06 22:22:06,2743246025,B,#EMABiggestFansJustinBieber  :3 http://t.co/ZtE0jl9liw
519251285154222080,-84.491221,38.055092,2014-10-06 22:22:08,29693900,E,“@cnnbrk: Spain has 1st known case of person contracting Ebola outside Africa. http://t.co/91ZjfVdrUF.” @taylorcaroline2 😔😐😁🙈
519251307161743360,-42.297482,-16.173878,2014-10-06 22:22:13,2279636816,B,@liamataque a vadia vem pq eu manjo nas capuera #EMABiggestFansJustinBieber
519251330997972992,1.286533,52.621602,2014-10-06 22:22:19,404094538,E,I thought Ebola was the girl from Frozen ❄️😔
519251337650135040,-49.215558,-25.507378,2014-10-06 22:22:20,2305288819,B,vou pra aula #EMABiggestFansJustinBieber
519251342297411584,36.843521,-1.312804,2014-10-06 22:22:21,876113958,E,"Don't care about the Ebola epidemic but complains when the EA servers are down 👇, people of the 21st century, go figure"
519251344474259456,-116.702834,35.258019,2014-10-06 22:22:22,1911117756,E,So apparently Ebola is an air borne disease. Awesome. Found in 20 states so far. It's an epidemic virus and has no cure. Great.
519251359917670400,4.393872,51.184111,2014-10-06 22:22:26,128954587,E,Instead of fighting and killing people #IS  we should help and act now #Ebola #Belgium #WorldWide #OneLove #MakeLoveNotWar
519251366271660032,149.058995,-35.387747,2014-10-06 22:22:27,744526795,E,@EbolaTookMyMum no sorry
519251371514929152,-76.572443,39.353777,2014-10-06 22:22:28,2578824065,E,@thugmodeaj_ Ebola 💀
519251376346791938,-88.666541,32.775256,2014-10-06 22:22:30,380055850,E,I gotta tell him this new info I found on Ebola . 😂
519251377277898753,-80.405266,27.255019,2014-10-06 22:22:30,797346218,E,@Shannan_Nicole1 I heard you didn't come to school cause you thought you were gonna get Ebola 😑
519251391274303490,8.501056,47.419922,2014-10-06 22:22:33,2343108899,B,#EMABiggestFansJustinBieber
519251393836617728,0.0,0.0,2014-10-06 22:22:34,17466714,E,"Now Houston? RT Cypress hospital monitoring patient for Ebola, calls it  'extremely low risk' http://t.co/tqvlrVYtha via @ABC13Houston"
519251417966866432,-83.235435,42.784381,2014-10-06 22:22:39,211650145,E,"""@EB0L4: When someone with Ebola comes near you😭😭 http://t.co/J1I4LLc6PC"""
